,Close,EMA_200,EMA_100,VWAP,Trend
0,177.983,177.983,177.983,177.905,0
1,177.847,177.982,177.98,177.913,-1
2,177.841,177.98,177.978,177.893,-1
3,178.005,177.98,177.978,177.903,0
4,178.243,177.983,177.983,177.969,1
5,178.459,177.988,177.993,178.179,1
6,178.436,177.992,178.002,178.329,1
7,178.355,177.996,178.009,178.399,1
8,178.352,177.999,178.015,178.395,1
9,178.211,178.002,178.019,178.327,0
10,178.114,178.003,178.021,178.25,0
11,177.936,178.002,178.019,178.06,0
12,178.2,178.004,178.023,178.066,0
13,178.375,178.008,178.03,178.148,1
14,178.328,178.011,178.036,178.26,1
15,178.525,178.016,178.046,178.373,1
16,178.625,178.022,178.057,178.463,1
17,178.806,178.03,178.072,178.616,1
18,178.891,178.038,178.088,178.755,1
19,178.982,178.048,178.106,178.853,1
20,178.879,178.056,178.121,178.896,1
21,178.878,178.064,178.136,178.897,1
22,178.99,178.073,178.153,178.883,1
23,178.911,178.082,178.168,178.897,1
24,179.363,178.095,178.192,179.06,1
25,179.696,178.11,178.221,179.32,1
26,179.656,178.126,178.25,179.5,1
27,179.611,178.141,178.277,179.64,1
28,179.656,178.156,178.304,179.667,1
29,179.55,178.17,178.329,179.661,1
30,179.615,178.184,178.354,179.629,1
31,179.521,178.197,178.377,179.584,1
32,179.397,178.209,178.398,179.54,1
33,179.452,178.222,178.418,179.492,1
34,180.161,178.241,178.453,179.691,1
35,180.277,178.261,178.489,179.924,1
36,180.161,178.28,178.522,180.092,1
37,180.247,178.3,178.556,180.2,1
38,180.285,178.319,178.591,180.213,1
39,180.255,178.339,178.624,180.246,1
40,180.211,178.357,178.655,180.262,1
41,180.122,178.375,178.684,180.21,1
42,180.066,178.392,178.711,180.149,1
43,180.159,178.409,178.74,180.121,1
44,179.993,178.425,178.765,180.083,1
45,180.041,178.441,178.79,180.074,1
46,179.977,178.456,178.814,180.039,1
47,180.091,178.473,178.839,180.04,1
48,179.91,178.487,178.86,180.015,1
49,179.88,178.501,178.88,179.986,1
50,179.929,178.515,178.901,179.931,1
51,179.981,178.53,178.922,179.924,1
52,179.777,178.542,178.939,179.898,1
53,179.838,178.555,178.957,179.874,1
54,179.852,178.568,178.975,179.845,1
55,179.952,178.582,178.994,179.875,1
56,179.915,178.595,179.012,179.902,1
57,179.881,178.608,179.03,179.921,1
58,179.805,178.62,179.045,179.895,1
59,179.704,178.63,179.058,179.824,1
60,179.591,178.64,179.069,179.719,1
61,179.762,178.651,179.082,179.701,1
62,179.723,178.662,179.095,179.719,1
63,179.732,178.672,179.108,179.749,1
64,179.78,178.683,179.121,179.753,1
65,179.643,178.693,179.131,179.731,1
66,179.748,178.703,179.144,179.717,1
67,179.765,178.714,179.156,179.737,1
68,179.964,178.726,179.172,179.819,1
69,179.85,178.738,179.185,179.871,1
70,180.037,178.751,179.202,179.937,1
71,179.633,178.759,179.211,179.871,1
72,179.567,178.767,179.218,179.778,1
73,181.373,178.793,179.26,180.29,1
74,181.23,178.818,179.299,180.74,1
75,181.296,178.842,179.339,181.067,1
76,181.514,178.869,179.382,181.312,1
77,181.711,178.897,179.428,181.422,1
78,181.649,178.924,179.472,181.577,1
79,181.656,178.952,179.515,181.64,1
80,181.683,178.979,179.558,181.645,1
81,181.588,179.005,179.598,181.653,1
82,181.278,179.027,179.632,181.567,1
83,181.364,179.051,179.666,181.468,1
84,181.397,179.074,179.7,181.377,1
85,181.472,179.098,179.735,181.406,1
86,181.214,179.119,179.765,181.383,1
87,181.073,179.138,179.791,181.299,1
88,181.289,179.16,179.82,181.223,1
89,181.541,179.183,179.854,181.28,1
90,181.343,179.205,179.884,181.373,1
91,181.383,179.227,179.913,181.387,1
92,181.383,179.248,179.943,181.35,1
93,181.28,179.268,179.969,181.339,1
94,181.216,179.288,179.994,181.299,1
95,181.225,179.307,180.018,181.248,1
96,181.184,179.326,180.041,181.233,1
97,181.202,179.344,180.064,181.205,1
98,181.248,179.363,180.088,181.21,1
99,181.196,179.381,180.11,181.211,1
100,181.192,179.399,180.131,181.219,1
101,181.227,179.418,180.153,181.209,1
102,181.343,179.437,180.176,181.245,1
103,181.265,179.455,180.198,181.27,1
104,181.325,179.474,180.22,181.299,1
105,181.293,179.492,180.241,181.303,1
106,181.296,179.51,180.262,181.312,1
107,181.278,179.527,180.282,181.308,1
108,181.401,179.546,180.305,181.347,1
109,181.573,179.566,180.33,181.41,1
110,180.976,179.58,180.342,181.326,1
111,180.822,179.592,180.352,181.14,1
112,180.69,179.603,180.359,180.953,1
113,180.501,179.612,180.361,180.73,0
114,180.462,179.621,180.363,180.559,0
115,180.4,179.629,180.364,180.478,0
116,180.401,179.636,180.365,180.43,0
117,180.355,179.643,180.365,180.409,0
118,180.433,179.651,180.366,180.393,0
119,180.398,179.659,180.367,180.38,0
120,180.246,179.664,180.364,180.365,0
121,180.478,179.673,180.367,180.353,0
122,180.612,179.682,180.371,180.412,1
123,180.787,179.693,180.38,180.594,1
124,180.698,179.703,180.386,180.689,1
125,180.698,179.713,180.392,180.725,1
126,180.689,179.723,180.398,180.691,1
127,180.619,179.731,180.402,180.676,0
128,180.544,179.74,180.405,180.634,0
129,180.579,179.748,180.409,180.592,0
130,180.656,179.757,180.414,180.578,1
131,180.568,179.765,180.417,180.6,0
132,180.524,179.773,180.419,180.588,0
133,180.343,179.778,180.417,180.502,0
134,180.447,179.785,180.418,180.431,0
135,180.418,179.791,180.418,180.419,0
136,180.456,179.798,180.419,180.429,0
137,180.497,179.805,180.42,180.469,0
138,180.362,179.81,180.419,180.46,0
139,180.457,179.817,180.42,180.448,0
140,180.606,179.825,180.423,180.474,0
141,180.42,179.831,180.423,180.488,0
142,180.509,179.837,180.425,180.504,0
143,180.338,179.842,180.423,180.454,0
144,180.377,179.848,180.422,180.413,0
145,180.263,179.852,180.419,180.364,0
146,180.41,179.857,180.419,180.345,0
147,180.535,179.864,180.421,180.395,0
148,180.577,179.871,180.424,180.466,0
149,180.549,179.878,180.427,180.531,0
150,180.562,179.885,180.43,180.562,0
151,180.545,179.891,180.432,180.568,0
152,180.55,179.898,180.434,180.553,0
153,180.695,179.906,180.439,180.58,1
154,180.69,179.914,180.444,180.63,1
155,180.671,179.921,180.449,180.669,0
156,180.847,179.93,180.457,180.73,1
157,180.958,179.94,180.467,180.827,1
158,180.997,179.951,180.477,180.925,1
159,180.833,179.96,180.484,180.937,1
160,180.596,179.966,180.486,180.856,0
161,180.635,179.973,180.489,180.758,0
162,181.072,179.984,180.501,180.786,1
163,181.131,179.995,180.513,180.938,1
164,181.078,180.006,180.525,181.066,1
165,181.008,180.016,180.534,181.101,1
166,181.359,180.029,180.55,181.155,1
167,181.292,180.042,180.565,181.242,1
168,182.0,180.061,180.594,181.467,1
169,181.939,180.08,180.62,181.686,1
170,181.979,180.099,180.647,181.867,1
171,181.842,180.116,180.671,181.93,1
172,181.71,180.132,180.691,181.892,1
173,181.989,180.151,180.717,181.86,1
174,181.938,180.168,180.741,181.862,1
175,181.971,180.186,180.766,181.91,1
176,182.182,180.206,180.794,181.992,1
177,182.114,180.225,180.82,182.045,1
178,182.066,180.243,180.844,182.108,1
179,181.975,180.261,180.867,182.085,1
180,182.051,180.278,180.89,182.034,1
181,182.161,180.297,180.915,182.044,1
182,182.135,180.315,180.94,182.075,1
183,182.147,180.334,180.963,182.121,1
184,182.106,180.351,180.986,182.12,1
185,182.143,180.369,181.009,182.131,1
186,182.182,180.387,181.032,182.145,1
187,182.174,180.405,181.055,182.168,1
188,182.108,180.422,181.076,182.168,1
189,182.12,180.439,181.096,182.154,1
190,182.067,180.455,181.116,182.123,1
191,182.162,180.472,181.136,182.106,1
192,182.411,180.491,181.162,182.215,1
193,182.3,180.509,181.184,182.285,1
194,182.33,180.527,181.207,182.329,1
195,182.313,180.545,181.229,182.311,1
196,182.315,180.563,181.25,182.299,1
197,182.319,180.58,181.271,182.306,1
198,182.36,180.598,181.293,182.331,1
199,182.334,180.615,181.314,182.345,1
200,182.292,180.632,181.333,182.341,1
201,182.21,180.648,181.35,182.285,1
202,182.181,180.663,181.367,182.223,1
203,182.35,180.68,181.386,182.232,1
204,182.353,180.696,181.405,182.288,1
205,182.513,180.714,181.427,182.368,1
206,182.817,180.735,181.455,182.546,1
207,182.61,180.754,181.478,182.636,1
208,182.867,180.775,181.505,182.728,1
209,183.179,180.799,181.538,182.847,1
210,183.197,180.823,181.571,183.016,1
211,183.241,180.847,181.604,183.169,1
212,183.391,180.872,181.64,183.268,1
213,183.168,180.895,181.67,183.274,1
214,183.145,180.917,181.699,183.222,1
215,183.191,180.94,181.729,183.178,1
216,183.242,180.963,181.759,183.183,1
217,183.182,180.985,181.787,183.209,1
218,183.158,181.007,181.814,183.201,1
219,183.452,181.031,181.846,183.279,1
220,183.533,181.056,181.88,183.393,1
221,183.748,181.083,181.917,183.51,1
222,183.46,181.106,181.947,183.591,1
223,183.347,181.129,181.975,183.549,1
224,183.257,181.15,182.0,183.441,1
225,183.272,181.171,182.026,183.301,1
226,183.257,181.192,182.05,183.237,1
227,183.202,181.212,182.073,183.202,1
228,183.18,181.231,182.095,183.191,1
229,183.363,181.252,182.12,183.222,1
230,183.473,181.275,182.147,183.31,1
231,183.336,181.295,182.17,183.354,1
232,183.251,181.315,182.192,183.347,1
233,183.504,181.336,182.218,183.354,1
234,183.524,181.358,182.243,183.397,1
235,183.326,181.378,182.265,183.432,1
236,183.146,181.395,182.282,183.33,1
237,183.214,181.413,182.301,183.251,1
238,183.173,181.431,182.318,183.18,1
239,182.982,181.446,182.331,183.125,1
240,182.898,181.461,182.342,183.055,1
241,182.825,181.474,182.352,182.966,1
242,182.927,181.489,182.363,182.894,1
243,182.972,181.504,182.375,182.88,1
244,183.087,181.519,182.39,182.949,1
245,183.066,181.535,182.403,183.025,1
246,182.992,181.549,182.415,183.052,1
247,183.06,181.564,182.427,183.055,1
248,183.036,181.579,182.439,183.04,1
249,183.123,181.594,182.453,183.069,1
250,182.913,181.607,182.462,183.037,1
251,183.17,181.623,182.476,183.057,1
252,183.253,181.639,182.491,183.138,1
253,183.224,181.655,182.506,183.201,1
254,181.767,181.656,182.491,182.8,0
255,182.288,181.662,182.487,182.266,0
256,182.31,181.669,182.484,182.131,0
257,182.318,181.675,182.481,182.152,0
258,182.154,181.68,182.474,182.302,0
259,183.541,181.698,182.495,182.64,1
260,183.709,181.718,182.519,183.005,1
261,183.674,181.738,182.542,183.396,1
262,183.817,181.759,182.567,183.725,1
263,184.133,181.782,182.598,183.835,1
264,183.781,181.802,182.622,183.911,1
265,183.553,181.82,182.64,183.786,1
266,183.217,181.833,182.652,183.604,1
267,182.919,181.844,182.657,183.293,1
268,182.856,181.854,182.661,183.061,0
269,182.784,181.864,182.663,182.926,0
270,182.582,181.871,182.662,182.806,0
271,182.578,181.878,182.66,182.684,0
272,182.667,181.886,182.66,182.604,0
273,182.682,181.894,182.661,182.593,0
274,182.905,181.904,182.665,182.735,1
275,183.161,181.916,182.675,182.862,1
276,183.183,181.929,182.685,182.993,1
277,183.184,181.941,182.695,183.12,1
278,183.158,181.953,182.704,183.152,1
279,183.118,181.965,182.713,183.139,1
280,183.069,181.976,182.72,183.128,1
281,183.214,181.988,182.729,183.113,1
282,183.202,182.0,182.739,183.145,1
283,183.249,182.013,182.749,183.191,1
284,183.051,182.023,182.755,183.177,1
285,183.026,182.033,182.76,183.128,1
286,183.017,182.043,182.765,183.047,1
287,183.157,182.054,182.773,183.034,1
288,183.059,182.064,182.779,183.043,1
289,183.026,182.073,182.784,183.058,1
290,183.066,182.083,182.789,183.052,1
291,183.038,182.093,182.794,183.03,1
292,183.022,182.102,182.799,183.04,0
293,182.662,182.108,182.796,182.924,0
294,182.655,182.113,182.793,182.768,0
295,182.718,182.119,182.792,182.699,0
296,182.679,182.125,182.789,182.676,0
297,182.68,182.13,182.787,182.698,0
298,182.877,182.138,182.789,182.744,0
299,182.907,182.145,182.791,182.823,0
300,183.056,182.154,182.797,182.975,1
301,183.034,182.163,182.801,183.012,1
302,182.935,182.171,182.804,183.016,0
303,182.94,182.178,182.807,182.98,0
304,182.75,182.184,182.806,182.924,0
305,182.949,182.192,182.808,182.897,0
306,182.943,182.199,182.811,182.899,0
307,182.894,182.206,182.813,182.924,0
308,182.882,182.213,182.814,182.93,0
309,182.894,182.22,182.816,182.899,0
310,183.176,182.229,182.823,183.011,1
311,183.047,182.237,182.827,183.068,0
312,183.135,182.246,182.833,183.11,1
313,183.243,182.256,182.841,183.132,1
314,183.031,182.264,182.845,183.125,0
315,183.284,182.274,182.854,183.174,1
316,182.991,182.281,182.857,183.096,0
317,182.666,182.285,182.853,182.992,0
318,182.764,182.29,182.851,182.873,0
319,182.719,182.294,182.848,182.751,0
320,182.698,182.298,182.845,182.734,0
321,182.792,182.303,182.844,182.723,0
322,182.76,182.308,182.843,182.742,0
323,182.725,182.312,182.84,182.745,0
324,182.781,182.316,182.839,182.752,0
325,182.828,182.321,182.839,182.756,0
326,182.923,182.327,182.841,182.841,0
327,182.965,182.334,182.843,182.888,0
328,182.885,182.339,182.844,182.922,0
329,182.786,182.344,182.843,182.887,0
330,182.914,182.349,182.844,182.859,0
331,182.808,182.354,182.843,182.813,0
332,182.661,182.357,182.84,182.781,0
333,182.7,182.36,182.837,182.745,0
334,182.935,182.366,182.839,182.779,0
335,182.851,182.371,182.839,182.848,0
336,182.85,182.376,182.839,182.884,0
337,182.843,182.38,182.84,182.872,0
338,182.831,182.385,182.839,182.83,0
339,182.911,182.39,182.841,182.842,0
340,182.965,182.396,182.843,182.897,0
341,182.731,182.399,182.841,182.873,0
342,182.806,182.403,182.84,182.843,0
343,182.799,182.407,182.84,182.794,0
344,182.876,182.412,182.84,182.81,0
345,182.906,182.417,182.842,182.856,0
346,182.976,182.422,182.844,182.904,0
347,182.999,182.428,182.847,182.95,0
348,183.023,182.434,182.851,182.981,0
349,183.093,182.44,182.856,183.026,1
350,182.732,182.443,182.853,182.951,0
351,182.781,182.447,182.852,182.889,0
352,182.736,182.45,182.849,182.798,0
353,182.631,182.451,182.845,182.736,0
354,182.452,182.451,182.837,182.643,0
355,182.363,182.451,182.828,182.527,0
356,182.41,182.45,182.82,182.432,0
357,182.285,182.448,182.809,182.369,-1
358,182.413,182.448,182.801,182.361,0
359,182.308,182.447,182.791,182.337,-1
360,182.347,182.446,182.783,182.327,0
361,182.166,182.443,182.77,182.26,-1
362,182.259,182.441,182.76,182.233,-1
363,182.261,182.439,182.75,182.226,-1
364,182.098,182.436,182.737,182.214,-1
365,182.205,182.434,182.727,182.196,-1
366,182.19,182.431,182.716,182.167,-1
367,181.999,182.427,182.702,182.146,-1
368,181.838,182.421,182.685,182.073,-1
369,181.723,182.414,182.666,181.895,-1
370,181.59,182.406,182.645,181.761,-1
371,181.677,182.399,182.625,181.712,-1
372,181.828,182.393,182.61,181.704,-1
373,181.969,182.389,182.597,181.789,-1
374,181.863,182.384,182.582,181.841,-1
375,181.947,182.379,182.57,181.917,-1
376,181.975,182.375,182.558,181.931,-1
377,181.975,182.371,182.547,181.954,-1
378,181.911,182.367,182.534,181.963,-1
379,181.968,182.363,182.523,181.954,-1
380,182.024,182.359,182.513,181.956,-1
381,181.903,182.355,182.501,181.959,-1
382,181.613,182.347,182.483,181.856,-1
383,181.738,182.341,182.468,181.753,-1
384,181.818,182.336,182.456,181.728,-1
385,181.991,182.333,182.446,181.801,-1
386,181.92,182.329,182.436,181.894,-1
387,181.96,182.325,182.427,181.935,-1
388,181.956,182.321,182.417,181.95,-1
389,182.333,182.321,182.416,182.076,0
390,182.287,182.321,182.413,182.179,0
391,182.266,182.32,182.41,182.262,0
392,182.293,182.32,182.408,182.294,0
393,182.264,182.32,182.405,182.274,0
394,182.264,182.319,182.402,182.273,0
395,182.215,182.318,182.398,182.23,0
396,181.998,182.315,182.391,182.136,-1
397,182.057,182.312,182.384,182.093,-1
398,182.021,182.309,182.377,182.043,-1
399,182.056,182.307,182.37,182.059,-1
400,182.206,182.306,182.367,182.139,0
401,182.421,182.307,182.368,182.255,0
402,182.932,182.313,182.379,182.469,1
403,182.88,182.319,182.389,182.662,1
404,182.96,182.325,182.401,182.86,1
405,182.784,182.33,182.408,182.892,1
406,182.595,182.332,182.412,182.838,0
407,182.416,182.333,182.412,182.675,0
408,182.34,182.333,182.411,182.497,0
409,182.319,182.333,182.409,182.375,0
410,182.468,182.335,182.41,182.365,0
411,182.431,182.335,182.41,182.402,0
412,182.427,182.336,182.411,182.431,0
413,182.484,182.338,182.412,182.438,0
414,182.638,182.341,182.417,182.486,0
415,182.546,182.343,182.419,182.53,0
416,182.677,182.346,182.424,182.596,1
417,182.955,182.352,182.435,182.694,1
418,183.253,182.361,182.451,182.963,1
419,183.211,182.37,182.466,183.079,1
420,183.171,182.378,182.48,183.185,1
421,183.23,182.386,182.495,183.184,1
422,183.316,182.395,182.511,183.206,1
423,183.134,182.403,182.523,183.218,1
424,183.147,182.41,182.536,183.201,1
425,183.039,182.416,182.546,183.132,1
426,183.012,182.422,182.555,183.077,1
427,182.912,182.427,182.562,183.014,1
