,close,EMA_100,EMA_200,VWAP,trend
0,152.64,152.64,152.64,152.61,0
1,152.57,152.639,152.639,152.601,0
2,152.62,152.638,152.639,152.607,0
3,152.64,152.638,152.639,152.595,0
4,152.5,152.636,152.638,152.522,0
5,152.46,152.632,152.636,152.494,0
6,152.52,152.63,152.635,152.492,0
7,152.51,152.627,152.634,152.487,0
8,152.54,152.626,152.633,152.395,0
9,152.035,152.614,152.627,152.34,-1
10,152.3501,152.609,152.624,152.258,0
11,151.68,152.59,152.615,152.02,-1
12,151.44,152.568,152.603,151.743,-1
13,150.99,152.536,152.587,151.368,-1
14,151.08,152.508,152.572,151.206,-1
15,151.71,152.492,152.563,151.408,0
16,151.575,152.474,152.553,151.582,-1
17,151.6501,152.457,152.544,151.718,-1
18,152.01,152.448,152.539,151.845,0
19,152.02,152.44,152.534,152.054,-1
20,151.69,152.425,152.526,152.099,-1
21,152.39,152.424,152.524,152.088,0
22,152.5,152.426,152.524,152.085,0
23,152.1,152.419,152.52,152.511,-1
24,152.38,152.419,152.518,152.374,0
25,152.1,152.412,152.514,152.321,-1
26,152.07,152.406,152.51,152.197,-1
27,152.1,152.4,152.506,152.087,-1
28,152.02,152.392,152.501,152.025,-1
29,152.27,152.39,152.499,152.079,0
30,152.12,152.384,152.495,152.216,-1
31,152.4,152.385,152.494,152.3,0
32,152.81,152.393,152.497,152.465,1
33,152.91,152.403,152.501,152.628,1
34,152.98,152.415,152.506,152.911,1
35,152.88,152.424,152.51,152.995,0
36,153.27,152.441,152.517,153.361,0
37,153.25,152.457,152.524,153.365,0
38,153.27,152.473,152.532,153.394,0
39,153.1,152.485,152.538,153.297,0
40,153.69,152.509,152.549,153.657,0
41,154.32,152.545,152.567,154.007,1
42,156.19,152.617,152.603,154.636,1
43,156.1474,152.687,152.638,155.577,1
44,155.95,152.752,152.671,156.07,0
45,155.8499,152.813,152.703,155.944,0
46,155.93,152.875,152.735,155.866,1
47,155.41,152.925,152.761,155.649,0
48,155.07,152.967,152.784,155.447,0
49,155.2499,153.013,152.809,155.204,0
50,155.15,153.055,152.832,155.114,0
51,154.75,153.088,152.851,154.855,0
52,154.08,153.108,152.863,154.38,0
53,153.3,153.112,152.868,154.179,0
54,153.49,153.119,152.874,153.979,0
55,154.75,153.152,152.893,153.793,1
56,154.94,153.187,152.913,153.937,1
57,154.9,153.221,152.933,155.034,0
58,155.3,153.262,152.956,155.094,1
59,155.22,153.301,152.979,155.126,1
60,155.1,153.337,153.0,155.217,0
61,155.1,153.371,153.021,155.161,0
62,155.03,153.404,153.041,155.092,0
63,155.15,153.439,153.062,155.145,0
64,155.48,153.479,153.086,155.317,1
65,155.47,153.519,153.11,155.397,1
66,155.33,153.555,153.132,155.427,0
67,155.32,153.59,153.153,155.367,0
68,155.29,153.623,153.175,155.309,0
69,155.28,153.656,153.196,155.29,0
70,155.3,153.689,153.217,155.304,0
71,155.35,153.721,153.238,155.294,1
72,155.36,153.754,153.259,155.168,1
73,154.8499,153.776,153.275,155.103,0
74,155.02,153.8,153.292,155.092,0
75,155.2321,153.829,153.311,155.083,1
76,155.01,153.852,153.328,154.987,0
77,154.375,153.862,153.339,154.677,0
78,154.07,153.866,153.346,154.334,0
79,154.65,153.882,153.359,154.342,1
80,155.25,153.909,153.378,154.634,1
81,154.645,153.924,153.39,154.803,0
82,153.8299,153.922,153.395,154.506,0
83,153.72,153.918,153.398,153.927,0
84,153.5663,153.911,153.4,153.704,0
85,153.12,153.895,153.397,153.464,-1
86,152.96,153.877,153.393,153.4,-1
87,152.66,153.853,153.385,152.842,-1
88,152.87,153.833,153.38,152.726,0
89,153.04,153.817,153.377,152.72,0
90,152.72,153.796,153.37,152.919,-1
91,152.75,153.775,153.364,152.91,-1
92,152.65,153.753,153.357,152.68,-1
93,152.51,153.728,153.349,152.606,-1
94,152.51,153.704,153.34,152.542,-1
95,152.5,153.68,153.332,152.575,-1
96,152.84,153.663,153.327,152.711,0
97,153.03,153.651,153.324,152.786,0
98,153.09,153.64,153.322,152.931,0
99,153.09,153.629,153.319,153.065,-1
100,153.18,153.62,153.318,153.12,0
101,153.11,153.61,153.316,153.091,-1
102,153.09,153.6,153.314,153.095,-1
103,153.15,153.591,153.312,153.069,0
104,153.1,153.581,153.31,153.224,-1
105,153.265,153.575,153.309,153.226,0
106,153.24,153.568,153.309,153.287,0
107,153.135,153.56,153.307,153.155,0
108,153.04,153.549,153.304,153.059,-1
109,152.75,153.533,153.299,152.832,-1
110,152.105,153.505,153.287,152.574,-1
111,151.8899,153.473,153.273,152.26,-1
112,151.7,153.438,153.257,151.807,-1
113,151.5418,153.401,153.24,151.774,-1
114,151.87,153.37,153.227,151.819,0
115,152.94,153.362,153.224,152.358,0
116,152.8399,153.351,153.22,152.416,0
117,152.07,153.326,153.209,152.587,-1
118,153.07,153.321,153.207,152.374,0
119,154.0,153.334,153.215,153.268,1
120,154.04,153.348,153.223,153.7,1
121,154.08,153.363,153.232,153.855,1
122,154.0,153.375,153.239,154.056,0
123,154.24,153.393,153.249,154.089,1
124,154.09,153.406,153.258,154.124,0
125,153.75,153.413,153.263,154.078,0
126,153.72,153.419,153.267,153.888,0
127,153.76,153.426,153.272,153.73,0
128,153.7,153.431,153.276,153.69,0
129,153.65,153.436,153.28,153.677,0
130,153.71,153.441,153.284,153.672,0
131,153.8,153.448,153.29,153.705,1
132,153.8,153.455,153.295,153.779,0
133,153.7626,153.461,153.299,153.788,0
134,153.71,153.466,153.303,153.781,0
135,153.85,153.474,153.309,153.786,1
136,153.84,153.481,153.314,153.765,1
137,153.6315,153.484,153.317,153.654,0
138,153.07,153.476,153.315,153.504,-1
139,153.38,153.474,153.315,153.307,0
140,153.98,153.484,153.322,153.493,1
141,153.96,153.493,153.328,153.793,1
142,153.805,153.5,153.333,153.883,0
143,154.0699,153.511,153.34,153.88,1
144,153.42,153.509,153.341,153.728,0
145,153.1423,153.502,153.339,153.42,-1
146,152.62,153.484,153.332,152.937,-1
147,152.43,153.464,153.323,152.606,-1
148,152.1807,153.438,153.312,152.106,0
149,150.96,153.389,153.288,151.946,-1
150,151.05,153.343,153.266,151.731,-1
151,151.33,153.303,153.247,151.046,0
152,151.38,153.265,153.228,151.106,0
153,151.62,153.232,153.212,151.174,0
154,150.92,153.186,153.189,151.388,-1
155,150.82,153.14,153.166,151.317,-1
156,150.82,153.094,153.143,150.835,-1
157,150.6,153.044,153.117,150.728,-1
158,150.62,152.996,153.092,150.681,-1
159,150.73,152.951,153.069,150.677,0
160,151.26,152.918,153.051,150.886,0
161,151.04,152.881,153.031,150.976,0
162,151.02,152.844,153.011,151.105,-1
163,150.99,152.807,152.991,151.002,-1
164,150.99,152.771,152.971,150.977,-1
165,150.91,152.734,152.95,150.963,-1
166,150.92,152.698,152.93,150.954,-1
167,151.0,152.665,152.911,150.986,-1
168,151.02,152.632,152.892,150.914,0
169,150.47,152.589,152.868,150.819,-1
170,150.65,152.551,152.846,150.608,-1
171,150.235,152.505,152.82,150.439,-1
172,150.46,152.465,152.796,150.442,-1
173,150.76,152.431,152.776,150.525,0
174,150.155,152.386,152.75,150.438,-1
175,149.763,152.334,152.72,150.161,-1
176,149.82,152.284,152.692,149.89,-1
177,150.2854,152.244,152.668,150.049,0
178,150.37,152.207,152.645,150.291,0
179,150.78,152.179,152.626,150.462,0
180,149.93,152.135,152.599,150.225,-1
181,149.42,152.081,152.568,150.155,-1
182,149.46,152.029,152.537,149.89,-1
183,149.36,151.976,152.505,149.439,-1
184,148.93,151.916,152.47,149.4,-1
185,149.07,151.859,152.436,149.265,-1
186,148.73,151.797,152.399,148.938,-1
187,148.84,151.739,152.364,148.93,-1
188,149.37,151.692,152.334,148.971,0
189,149.07,151.64,152.301,149.123,-1
190,149.34,151.594,152.272,149.349,-1
191,149.91,151.561,152.248,149.671,0
192,150.75,151.545,152.233,150.183,0
193,150.6,151.526,152.217,150.508,0
194,151.01,151.516,152.205,150.786,0
195,151.19,151.51,152.195,150.96,0
196,151.03,151.5,152.183,151.064,-1
197,151.04,151.491,152.172,151.095,-1
198,151.29,151.487,152.163,151.231,0
199,150.96,151.477,152.151,150.965,-1
200,150.88,151.465,152.139,150.94,-1
201,150.97,151.455,152.127,150.979,-1
202,151.7699,151.461,152.123,151.192,0
203,151.96,151.471,152.122,151.681,0
204,152.1,151.484,152.122,152.055,0
205,152.44,151.503,152.125,152.248,1
206,152.734,151.527,152.131,152.498,1
207,153.1126,151.558,152.141,152.815,1
208,153.2399,151.592,152.152,153.01,1
209,152.87,151.617,152.159,153.096,0
210,153.315,151.651,152.17,153.047,1
211,152.82,151.674,152.177,153.052,0
212,153.27,151.705,152.188,153.258,0
213,153.79,151.747,152.204,153.327,1
214,153.88,151.789,152.22,153.483,1
215,153.54,151.824,152.233,153.496,0
216,153.37,151.854,152.245,153.37,0
217,153.64,151.89,152.259,153.176,1
218,153.6,151.923,152.272,153.574,0
219,153.6,151.957,152.285,153.616,0
220,153.76,151.992,152.3,153.641,1
221,153.58,152.024,152.312,153.646,0
222,153.69,152.057,152.326,153.576,1
223,153.12,152.078,152.334,153.372,0
224,152.4,152.084,152.335,153.149,0
225,152.49,152.092,152.336,152.801,0
226,152.31,152.097,152.336,152.371,0
227,152.2,152.099,152.335,152.322,0
228,152.14,152.099,152.333,152.25,-1
229,152.29,152.103,152.332,152.201,0
230,152.43,152.11,152.333,152.271,0
231,152.26,152.113,152.333,152.199,0
232,151.945,152.109,152.329,151.943,-1
233,151.64,152.1,152.322,151.903,-1
234,152.19,152.102,152.321,151.889,0
235,151.92,152.098,152.317,151.946,-1
236,151.96,152.095,152.313,151.915,-1
237,151.66,152.087,152.307,151.835,-1
238,151.783,152.081,152.301,151.736,0
239,152.03,152.08,152.299,151.823,0
240,152.23,152.083,152.298,151.905,0
241,152.045,152.082,152.295,152.108,-1
242,153.1612,152.103,152.304,152.439,1
243,152.96,152.12,152.311,152.824,1
244,153.45,152.147,152.322,153.361,1
245,153.77,152.179,152.336,153.518,1
246,153.94,152.214,152.352,153.74,1
247,153.79,152.245,152.367,153.949,0
248,153.83,152.276,152.381,153.968,0
249,154.0,152.31,152.397,153.949,1
250,153.76,152.339,152.411,153.934,0
251,153.53,152.363,152.422,153.912,0
252,153.76,152.39,152.435,153.681,1
253,153.68,152.416,152.448,153.683,0
254,153.68,152.441,152.46,153.71,0
255,154.0,152.472,152.475,153.884,1
256,154.15,152.505,152.492,153.991,1
257,154.0,152.535,152.507,154.08,0
258,154.1999,152.568,152.524,154.142,1
259,154.43,152.605,152.543,154.293,1
260,154.19,152.636,152.559,154.304,0
261,154.08,152.665,152.574,154.276,0
262,153.99,152.691,152.588,154.161,0
263,154.07,152.718,152.603,154.198,0
264,154.64,152.756,152.623,154.589,1
265,154.2998,152.787,152.64,154.459,0
